"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='11.992mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='23.984mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='35.976mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='47.968mm'","dB(S(FloquetPort1:1,FloquetPort1:1)) [] - thickness='59.958mm'","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
2.9,-10.76468316764,-10.4862697664944,-34.4293688341169,-11.0349490343744,-10.2801227624861,-0.380360724925342
2.91,-10.7466135468966,-10.5145392720742,-36.3056100077174,-10.9611869668211,-10.3467870254608,-0.382018428044445
2.92,-10.7286452065567,-10.5432815309725,-38.7031031110431,-10.8898268529766,-10.4166076990508,-0.383674322509341
2.93,-10.7107794476533,-10.5725018714416,-42.0267304903398,-10.8208178975033,-10.4896512103864,-0.385328197575407
2.94,-10.6930177140076,-10.6022058459093,-47.4785589627398,-10.7541115658467,-10.5659880077013,-0.386979826739437
2.95,-10.6753615908861,-10.6323992356007,-65.2654540898613,-10.6896614789498,-10.6456927754488,-0.388628967585492
2.96,-10.6578128033567,-10.6630880551369,-50.0061621307395,-10.6274233154682,-10.7288446691674,-0.39027536166428
2.97,-10.640373214343,-10.6942785571063,-43.2864617157503,-10.5673547208919,-10.8155275721231,-0.391918734407406
2.98,-10.6230448223735,-10.7259772366094,-39.5440714795541,-10.5094152230389,-10.9058303760171,-0.393558795077725
2.99,-10.6058297590274,-10.7581908357731,-36.9380824521486,-10.4535661534336,-10.9998472883343,-0.395195236757039
3,-10.5887302860748,-10.7909263482343,-34.9372459032672,-10.3997705741277,-11.0976781692447,-0.39682773637225
3.01,-10.571748792314,-10.8241910235909,-33.3131856035377,-10.3479932095614,-11.1994289013545,-0.398455954761117
3.02,-10.554887790106,-10.8579923718187,-31.9465542715037,-10.2982003830993,-11.305211796043,-0.400079536778665
3.03,-10.5381499116091,-10.8923381676535,-30.7670702442849,-10.2503599579078,-11.4151460406309,-0.401698111445232
3.04,-10.5215379047158,-10.9272364549374,-29.7298356914587,-10.2044412818686,-11.5293581912158,-0.403311292137048
