"Freq [GHz]","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='11.992mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='23.984mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='35.976mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='47.968mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='59.96mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='71.952mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='83.944mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='95.936mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='107.928mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='119.92mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='131.912mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='143.904mm'","ang_deg(S(FloquetPort1:1,FloquetPort2:1)) [deg] - dielectriclength='155.892mm'"
3.15,-55.024580442996,-73.7279904497083,-92.6663104418096,-111.427579925931,-130.165552955168,-148.816471939085,-167.400485731954,173.475560741738,154.627060078577,135.910709260892,117.172296495173,98.3810223959476,79.7630967025839
3.16,-57.4803737536044,-76.2433653689002,-95.2440843679297,-114.063854990968,-132.860340258312,-151.570068298346,-170.210022828847,170.6016638757,151.69277309891,132.917908715932,114.119959110711,95.2692285304245,76.5964252885992
3.17,-59.936057014728,-78.7586090344662,-97.8218347234599,-116.700097757289,-135.555065846417,-154.323568122566,-173.019230736254,167.727725332037,148.758723484337,129.925182733398,111.067629906348,92.1576354327661,73.4297650887308
3.18,-62.3916338819871,-81.273716751684,-100.399559184241,-119.336308851673,-138.24973041889,-157.076968174911,-175.828104146531,164.853740985103,145.824902913275,126.932530394591,108.015308522763,89.0462488460265,70.2630957005776
3.19,-64.8471084146445,-83.7886840641347,-102.977255286931,-121.972488861582,-140.94433474385,-159.830265198066,-178.63664450128,161.979706923327,142.891298608441,123.939950713975,104.962994878494,85.9350738430282,67.0963968728646
3.2,-67.3024850582446,-86.3035067830852,-105.554920434755,-124.608638329507,-143.638879656948,-162.583455920328,178.555140827548,159.105619470798,139.957894158052,120.947442634575,101.910689178497,82.8241147829869,63.9296487166817
3.21,-69.7577686243735,-88.8181810161616,-108.132551904057,-127.24475774731,-146.333366059904,-165.336537061898,175.747239334402,156.231475205099,137.024670296186,117.955005024383,98.8583919212473,79.7133752699469,60.7628319102333
3.22,-72.2129642676022,-91.3327031951314,-110.710146851648,-129.880847550622,-149.027794918773,-168.089505341354,172.939634151104,153.35727097189,134.091605639055,114.962636673938,95.8061039043194,76.6028581138271,57.5959278963904
3.23,-74.6680774596883,-93.8470701026066,-113.287702322923,-132.516908113301,-151.722167261933,-170.842357482313,170.132304788726,150.483003896704,131.158677374366,111.97033629523,92.7538262283844,73.4925652948323,54.4289190723111
3.24,-77.1231139611317,-96.3612788974818,-115.865215260741,-135.152939741987,-154.416484177788,-173.595090220235,167.325227847345,147.608671394399,128.225861901352,108.978102522028,89.7015602995929,70.3824979319081,51.2617889703771
3.25,-79.5780797902037,-98.8753271389307,-118.442682515028,-137.788942670785,-157.110746812204,-176.347700309407,164.518377690999,144.734271176677,125.293135419453,105.985933911724,86.649307830295,67.2726562558655,48.0945224296804
3.26,-82.0329811895818,-101.389212808778,-121.020100853093,-140.424917056078,-159.804956365652,-179.100184530046,161.71172708544,141.859801258034,122.360474464052,102.993828948719,83.59707083808,64.1630395877277,44.9271057572771
3.27,-84.4878245907439,-103.902934332076,-123.597466970604,-143.060862971542,-162.499114090089,178.14746030447,158.905247796627,138.985259960481,119.427856388048,100.001786049392,80.5448516431172,61.0536463227769,41.7595268784465
3.28,-86.9426165762946,-106.41649059572,-126.17477750321,-145.696780403344,-165.193221285554,175.395237340244,156.098911148165,136.110645917341,116.495259788454,97.0098035686352,77.4926528637903,57.9444739207262,38.5917754751539
3.29,-89.3973638404138,-108.929880964946,-128.752029038742,-148.332669245579,-167.887279296505,172.643149675421,153.292688536244,133.235958076379,113.562664877576,94.0178798079163,74.4404774106314,54.8355189023436,35.4238431119784
3.3,-91.8520731476287,-111.443105297546,-131.329218129974,-150.968529295969,-170.581289507878,169.891200352658,150.486551900871,130.3611957025,110.630053798725,91.0260130248251,71.3883284785712,51.7267768528057,32.255723348743
3.31,-94.3067512901362,-113.956163955675,-133.906341307875,-153.604360251839,-173.275253340906,167.13939235154,147.680474152534,127.486358380199,107.697410886769,88.0342014440133,68.336209537528,48.6182424319723,29.0874118391359
3.32,-96.7614050439083,-116.469057815119,-136.483395095316,-156.240161706409,-175.969172248666,164.387728580929,144.874429553678,124.611446015924,104.764722874185,85.0424432694387,65.2841243213722,45.5099093917093,25.9189064146303
3.33,-99.216041123831,-118.981788271875,-139.060376021161,-158.875933145427,-178.663047711397,161.636211871304,142.06839405467,121.736458840467,101.831979043644,82.0507366977919,62.232076815315,42.4017706003077,22.7502071530636
3.34,-101.670666138139,-121.494357245983,-141.637280634699,-161.511673944152,178.643118768423,158.884844967072,139.262345584211,118.861397411476,98.899171328463,79.05907993298,59.1800712417749,39.2938180739877,19.5813164312796
3.35,-104.125286542423,-124.006767182468,-144.214105520339,-164.147383364736,175.949325671225,156.133630518901,136.456264294385,115.986262616126,95.9662943626332,76.0674712015182,56.1281120447882,36.1860430153979,16.4122389613025
3.36,-106.579908593478,-126.519021049341,-146.790847312523,-166.783060554007,173.255571465709,153.382571076071,133.650132760843,113.111055673984,93.0333454823932,73.0759087686762,53.0762038730443,33.0784358589622,13.2429818095737
3.37,-109.034538303313,-129.031122332587,-149.367502710766,-169.418704541685,170.561854614405,150.631669078869,130.843936138821,110.235778140046,90.1003246816602,70.0843909552117,50.0243515616243,29.970986322859,10.073554398862
3.38,-111.489181393581,-131.543075028083,-151.944068494777,-172.054314239049,167.868173579426,147.880926851065,128.037662275973,107.360431907919,87.1672345238936,67.0929161545217,46.9725601125417,26.8636834673599,6.90396849254255
3.39,-113.943843250761,-134.054883630414,-154.520541539576,-174.689888438073,165.174526828396,145.130346592467,125.231301783221,104.48501921307,84.2340800132396,64.1014828500288,43.9208346741879,23.7565157591918,3.73423816102753
3.4,-116.39852888239,-136.566553118582,-157.096918830537,-177.325425811055,162.480912840533,142.379930371592,122.424848065033,101.609542636067,81.3008684280565,61.1100896326272,40.8691805197878,20.6494711415446,0.56437973023139
3.41,-118.853242874636,-139.078088938586,-159.673197478282,-179.960924910737,159.787330112884,139.62968011847,119.618297310813,98.7340051056886,78.3676091201537,58.1187352180015,37.8176030249898,17.542537109278,-2.60558828792835
3.42,-121.307989351539,-141.589496982911,-162.249374733361,177.403615829045,157.093777166682,136.879597617609,116.811648449216,95.858409901794,75.4343132832857,55.1274184636399,34.7661076447081,14.4357007888555,-5.7756452829128
3.43,-123.762771936204,-144.10078356695,-164.825448000626,174.768198092186,154.400252553816,134.129684501132,114.004903067469,92.9827606577866,72.5009936946368,52.1361383853601,31.7146998893488,11.3289490224694,-8.94576865058776
3.44,-126.217593714256,-146.611955402415,-167.401414853233,172.132823678606,151.706754863396,131.379942242129,111.198065297931,90.1070613625345,69.5676644331954,49.1448941731769,28.6633853005557,8.22226845580368,-12.1159339155655
3.45,-128.672457199832,-149.123019567815,-169.9772730462,169.497494501984,149.013282728385,128.630372148228,108.391141674292,87.2313163615715,66.6343405790672,46.1536852063374,25.6121694266117,5.11564562882787,-15.2861148703951
3.46,-131.127364304411,-151.633983476074,-172.553020529432,166.862212586956,146.319834832291,125.88097535542,105.584140959987,84.3555303574115,63.7010378978876,43.162511067369,22.561057797639,2.00906706900229,-18.4562837310106
3.47,-133.58231630873,-154.144854839427,-175.128655460157,164.226980065742,143.626409915891,123.131752822164,102.777073951556,81.4797084087995,60.7677725145972,40.1713715549811,19.5100559007424,-1.09748061376425,-21.6264113077172
3.48,-136.037313838055,-156.655641631689,-177.70417621468,161.591799174235,140.93300678397,120.382705323789,99.9699532597712,78.6038559287268,57.8345605809042,37.1802666956836,16.459169155241,-4.20401063107053,-24.7964671908679
3.49,-138.492356841048,-159.166352048062,179.720418600601,158.956672247528,138.239624312043,117.63383344722,97.1627930715247,75.7279786810376,54.9014179408046,34.1891967539885,13.4084028881332,-7.3105359195856,-27.9664199502564
3.5,-140.947444572447,-161.676994462636,177.145130138993,156.32160171488,135.546261453059,114.885137586061,94.3556088955185,72.8520827754652,51.9683597985419,31.1981622410781,10.3577623099444,-10.4170690449008,-31.1362373471255
3.51,-143.402575579765,-164.187577383763,174.569959304191,153.686590094179,132.852917244047,112.136617936038,91.5484172949207,69.9761746609438,49.0354003933786,28.2071639218343,7.30725249109873,-13.5236221064703,-34.305886557567
