"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $varyingpermittivity='10'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='2'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='3'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='4'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='5'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='6'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='7'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='8'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='9'","mag(S(FloquetPort1:1,FloquetPort2:1)) [] - $varyingpermittivity='10'"
2.23,0.17086025015898,0.26811329648273,0.333201338974386,0.382434607874558,0.420661127653305,0.451363386220879,0.477706393507351,0.500270191267707,0.519626420644044,0.985293499984871,0.96338842173822,0.942854092693734,0.923982637362847,0.907218233676904,0.892340301823664,0.878519579165702,0.86586933985996,0.854393586191156
2.24,0.170857662679205,0.268115141055801,0.333195466396888,0.38246804669727,0.42065055427193,0.451352368298152,0.477753981460444,0.500282095497436,0.519590785188534,0.985294805945274,0.963387943194616,0.942856158351721,0.923968756101899,0.907222949320038,0.892345838506336,0.878493687860469,0.865862466132151,0.854415253288852
2.25,0.170857010355398,0.268116200317489,0.333190723916227,0.382500251375912,0.420636378435925,0.451343561872374,0.477803827850515,0.500292160634244,0.51955415387281,0.98529582698959,0.963387677902816,0.942857835034593,0.923955385812139,0.907229318757899,0.892350261461435,0.878466562764521,0.865856658222407,0.854437523212163
2.26,0.170858369981982,0.268116446541665,0.333187195995727,0.382530909834476,0.420618669698549,0.451337193425992,0.477855365128655,0.500300217558489,0.519517168588864,0.985296538555084,0.963387633103948,0.942859092931365,0.923942656567337,0.907237312617087,0.892353456743685,0.878438512726976,0.86585201314865,0.854460005708395
2.27,0.170861814971752,0.268115856925071,0.333184961077761,0.382559709208962,0.420597537340565,0.451333465638426,0.477907977800079,0.500306123538795,0.519480504916702,0.985296915591975,0.963387814720165,0.942859904216555,0.923930698706612,0.907246883560284,0.892355322227668,0.878409872915045,0.865848612486175,0.8544822902431
2.28,0.170867415015798,0.268114413956927,0.333184090756587,0.382586338669511,0.420573130423586,0.451332553812648,0.477961009236899,0.500309765410801,0.51944486100472,0.985296932723861,0.963388227259604,0.942860243340302,0.923919641645765,0.907257966215118,0.892355769408072,0.878381001102055,0.865846520579959,0.854503952769341
2.29,0.1708752357445,0.268112105768577,0.33318464897892,0.382610492351703,0.420545637399376,0.451334602533669,0.478013769326467,0.500311062374771,0.519410945538314,0.985296564423941,0.963388873726321,0.942860087311194,0.923909612646352,0.907270477295416,0.892354725089689,0.87835227349031,0.865845782987307,0.854524563038049
2.3,0.170885338390689,0.268108926460089,0.333186691279813,0.382631872373997,0.420515285264268,0.451339722610949,0.478065542873496,0.500309968349744,0.519379464982032,0.985295785206469,0.963389755535922,0.942859415969227,0.923900735552628,0.907284315920455,0.892352132940644,0.878324080113584,0.865846425184299,0.854543692335058
2.31,0.170897779456104,0.268104876400772,0.333190264061261,0.382650191916353,0.420482338252908,0.451347988354849,0.478115598660897,0.500306473827033,0.519351110303136,0.985294569832753,0.963390872437588,0.942858212246373,0.923893129507109,0.907299364135983,0.89234795488311,0.878296819871761,0.865848451565647,0.854560921517276
2.32,0.170912610382344,0.26809996250068,0.333195403920767,0.382665178333162,0.420447096070768,0.451359435234689,0.478163199062082,0.500300607172239,0.51932654340437,0.985292893530806,0.9633922224432,0.942856462412177,0.92388690765602,0.907315487638833,0.8923421722969,0.878270895257168,0.865851844763662,0.854575849209336
