"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort1:1,FloquetPort2:1)) []"
4.21,-12.2031687716995,-0.269693115788142
4.22,-11.9149020586688,-0.288839343629213
4.23,-11.6498984204038,-0.307675575697199
4.24,-11.4062518883946,-0.32611253858772
4.25,-11.1823192665389,-0.34406654806609
4.26,-10.9766741230306,-0.361459235724612
4.27,-10.788071036111,-0.378217351084276
4.28,-10.6154173448345,-0.39427258501211
4.29,-10.4577506824784,-0.409561399548703
4.3,-10.3142210873021,-0.424024861864895
4.31,-10.184076794529,-0.437608484510992
4.32,-10.066653016401,-0.450262075656565
4.33,-9.96136315747564,-0.46193960338757
4.34,-9.86769201238215,-0.472599077978784
4.35,-9.78519056606682,-0.482202455662552
4.36,-9.71347207036775,-0.490715566891896
4.37,-9.65220911101136,-0.498108071509773
4.38,-9.60113140956848,-0.504353442619757
4.39,-9.56002412821807,-0.509428980327336
4.4,-9.52872646334726,-0.513315855897055
4.41,-9.50713032868005,-0.515999186255835
4.42,-9.49517894119665,-0.517468138171943
4.43,-9.49286513494344,-0.517716060853353
4.44,-9.50022924032924,-0.516740645140029
4.45,-9.51735638110662,-0.514544106911319
4.46,-9.54437305943061,-0.511133391792403
4.47,-9.58144292261725,-0.50652039772142
4.48,-9.62876163475845,-0.500722211432796
4.49,-9.68655081309194,-0.493761354422749
4.5,-9.75505103329225,-0.485666033492732
4.51,-9.83212788549642,-0.47670043983576
4.52,-9.92015404026422,-0.466631016911202
4.53,-10.0196013368058,-0.455497627493056
4.54,-10.1309901820093,-0.443343862412807
4.55,-10.2548980066799,-0.430217155790179
4.56,-10.3919689233729,-0.416168907322213
4.57,-10.5429248369787,-0.401254609925698
4.58,-10.7085783326975,-0.385533980728503
4.59,-10.8898477624162,-0.369071093097905
4.6,-11.0877750781475,-0.351934507081333
4.61,-11.303547132127,-0.334197395317585
4.62,-11.5385213948373,-0.315937661156569
4.63,-11.7942573603512,-0.297238045404955
4.64,-12.0725553513956,-0.278186217795851
4.65,-12.3755050629119,-0.258874848962177
4.66,-12.7055470832757,-0.23940165837339
4.67,-13.0655519501984,-0.219869433361573
4.68,-13.4589232661409,-0.200386013987745
4.69,-13.8897344024485,-0.181064238018449
4.7,-14.3629130248282,-0.16202183955421
4.71,-14.8844952497818,-0.143381293557318
4.72,-15.4619838597473,-0.125269595927803
4.73,-16.1048668621571,-0.10781796306641
4.74,-16.8253924141527,-0.0911614213325059
4.75,-17.6397730503999,-0.0754382226817378
4.76,-18.5701553113181,-0.0607889417423924
4.77,-19.6481088739183,-0.0473554986059691
4.78,-20.923012734144,-0.0352610074619154
4.79,-22.4998065599345,-0.0244991896955911
4.8,-24.4430800093155,-0.015645329125054
4.81,-25.0778030188523,-0.0137451017563394
4.82,-29.8512039473083,-0.00449762897768372
4.83,-35.1250621449897,-0.00133649056924076
4.84,-38.6583901033931,-0.000593935692682606
4.85,-32.7759925028787,-0.00229495453888443
4.86,-28.2174949523157,-0.00655444299751492
4.87,-25.0832139695319,-0.0134967958452181
4.88,-22.7269161299731,-0.0232443110949505
4.89,-20.8436552904308,-0.0359135688686343
4.9,-19.276297103583,-0.0516136138286667
4.91,-17.934701994531,-0.0704447212206816
4.92,-16.7627120915036,-0.0924974224973171
4.93,-15.7230824575059,-0.117851690822892
4.94,-14.7898867298611,-0.146576255235027
4.95,-13.9443718462389,-0.178728035651585
4.96,-13.1725456792927,-0.214351698981375
4.97,-12.4636979873403,-0.253479338708099
4.98,-11.8094536331278,-0.296130279853489
4.99,-11.2031441797935,-0.342311009568834
5,-10.6393777407509,-0.392015231398182
