"Freq [GHz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []","im(Gamma(1:3)) []","im(Gamma(1:4)) []","im(Gamma(1:6)) []"
5.78,113.667302503091,87.4997054958258,87.4996411226447,76.8198750163897,25.1939590076024
5.79,113.890638996665,87.789637512611,87.7895733520274,77.1499526265125,26.1831541876858
5.8,114.113923318476,88.079113861699,88.0790499119824,77.4791909762849,27.137932995765
5.81,114.337155774178,88.3681390211187,88.3680752805623,77.8076007195521,28.061808613777
5.82,114.56033666697,88.6567174035702,88.6566538704899,78.135192304454,28.9577390242573
5.83,114.783466297622,88.944853357709,88.9447900304437,78.4619759788258,29.828242446461
5.84,115.006544964503,89.2325511693986,89.2324880463091,78.7879617954217,30.6754836444324
5.85,115.229572963604,89.5198150629315,89.5197521424004,79.1131596169622,31.5013396147203
5.86,115.452550588559,89.8066492022203,89.8065864826519,79.437579121019,32.3074503721844
5.87,115.675478130674,90.0930576919611,90.09299517178,79.7612298047398,33.095258767798
5.88,115.898355878949,90.3790445787655,90.3789822564175,80.0841209894194,33.866042101063
5.89,116.1211841201,90.6646138522692,90.6645517262199,80.406261824926,34.6209375032156
5.9,116.343963138582,90.9497694462102,90.9497075149455,80.7276612939843,35.3609625284616
5.91,116.566693216616,91.2345152394837,91.2344535015087,81.0483282163246,36.0870320143414
5.92,116.789374634204,91.5188550571714,91.5187935110101,81.3682712527004,36.7999720053704
5.93,117.01200766916,91.8027926715447,91.8027313157402,81.687498908781,37.5005313417705
5.94,117.234592597125,92.0863318030467,92.0862706361604,82.0060195389234,38.1893913745861
5.95,117.45712969159,92.3694761212497,92.3694151418612,82.3238413498278,38.8671741645134
5.96,117.679619223923,92.6522292457907,92.6521684524973,82.6409724040808,39.534449443935
5.97,117.902061463382,92.9345947472851,92.9345341387015,82.9574206235921,40.19174056274
5.98,118.124456677141,93.2165761482194,93.2165157229776,83.2731937929264,40.8395295934868
5.99,118.34680513031,93.4981769238234,93.4981166805725,83.5882995625348,41.4782617367106
6,118.569107085954,93.7794005029224,93.7793404403276,83.9027454518919,42.1083491401407
