"Freq [GHz]","im(Zo(backport:1)) []","im(Zo(backport:2)) []","im(Zo(backport:3)) []","im(Zo(backport:4)) []","im(Zo(backport:6)) []"
5.2,0,0,0,0,242.166973115242
5.21,0,0,0,0,245.242635270894
5.22,0,0,0,0,248.419835424094
5.23,0,0,0,0,251.704497960674
5.24,0,0,0,0,255.103044650197
5.25,0,0,0,0,258.622449745213
5.26,0,0,0,0,262.270302729384
5.27,0,0,0,0,266.054880007917
5.28,0,0,0,0,269.9852270871
5.29,0,0,0,0,274.071253106937
5.3,0,0,0,0,278.323839983993
5.31,0,0,0,0,282.754968911235
5.32,0,0,0,0,287.377867575267
5.33,0,0,0,0,292.207182221493
5.34,0,0,0,0,297.259179742267
5.35,0,0,0,0,302.551985915136
5.36,0,0,0,0,308.105868310345
5.37,0,0,0,0,313.94357334504
5.38,0,0,0,0,320.090730514659
5.39,0,0,0,0,326.576340785707
5.4,0,0,0,0,333.433369829128
5.41,0,0,0,0,340.699472668545
5.42,0,0,0,0,348.4178911453
5.43,0,0,0,0,356.638565787893
5.44,0,0,0,0,365.419534174618
5.45,0,0,0,0,374.828702469772
5.46,0,0,0,0,384.946115296894
5.47,0,0,0,0,395.866898465283
5.48,0,0,0,0,407.705123773187
5.49,0,0,0,0,420.5989581544
5.5,0,0,0,0,434.717634120751
5.51,0,0,0,0,450.271055601123
5.52,0,0,0,0,467.52330414748
5.53,0,0,0,0,486.812067290375
5.54,0,0,0,0,508.577325410521
5.55,0,0,0,0,533.405009250098
5.56,0,0,0,0,562.095835493651
5.57,0,0,0,0,595.77850544578
5.58,0,0,0,0,636.105575103472
5.59,0,0,0,0,685.614369473098
5.6,0,0,0,0,748.447287192715
5.61,0,0,0,0,831.949138168147
5.62,0,0,0,0,950.767516626177
5.63,0,0,0,0,1139.97838040978
5.64,0,0,0,0,1517.00182270177
5.65,0,0,0,0,3141.04801465857
5.66,0,0,0,0,0
5.67,0,0,0,0,0
5.68,0,0,0,0,0
5.69,0,0,0,0,0
5.7,0,0,0,0,0
5.71,0,0,0,0,0
5.72,0,0,0,0,0
5.73,0,0,0,0,0
5.74,0,0,0,0,0
5.75,0,0,0,0,0
5.76,0,0,0,0,0
5.77,0,0,0,0,0
5.78,0,0,0,0,0
5.79,0,0,0,0,0
5.8,0,0,0,0,0
5.81,0,0,0,0,0
5.82,0,0,0,0,0
5.83,0,0,0,0,0
5.84,0,0,0,0,0
5.85,0,0,0,0,0
5.86,0,0,0,0,0
5.87,0,0,0,0,0
5.88,0,0,0,0,0
5.89,0,0,0,0,0
5.9,0,0,0,0,0
5.91,0,0,0,0,0
5.92,0,0,0,0,0
5.93,0,0,0,0,0
5.94,0,0,0,0,0
5.95,0,0,0,0,0
5.96,0,0,0,0,0
5.97,0,0,0,0,0
5.98,0,0,0,0,0
5.99,0,0,0,0,0
6,0,0,0,0,0
