"Freq [GHz]","re(Gamma(1:1)) []","re(Gamma(1:2)) []","re(Gamma(1:3)) []","re(Gamma(1:4)) []","re(Gamma(1:6)) []"
4.14,0,0,0,35.2829300906265,80.6935114048028
4.15,0,0,0,34.7630663303522,80.4675612141033
4.16,0,0,0,34.234026264373,80.2404273501006
4.17,0,0,0,33.6953776729683,80.012099732359
4.18,0,0,0,33.146652130359,79.7825681117626
4.19,0,0,0,32.5873405949455,79.5518220665496
4.2,0,0,0,32.0168882829642,79.3198509982262
4.21,0,0,0,31.434688677789,79.0866441273526
4.22,0,0,0,30.8400764896603,78.8521904892001
4.23,0,0,0,30.2323193317941,78.6164789292713
4.24,0,0,0,29.6106078144963,78.3794980986795
4.25,0,0,0,28.97404367328,78.1412364493814
4.26,0,0,0,28.3216254316598,77.9016822292576
4.27,0,0,0,27.6522309420817,77.6608234770352
4.28,0,0,0,26.9645959311479,77.4186480170448
4.29,0,0,0,26.2572873705343,77.1751434538077
4.3,0,0,0,25.5286700605504,76.9302971664443
4.31,0,0,0,24.7768641828407,76.6840963028966
4.32,0,0,0,23.9996906455546,76.4365277739597
4.33,0,0,0,23.1945996322975,76.1875782471103
4.34,0,0,0,22.3585755761791,75.9372341401285
4.35,0,0,0,21.4880082874548,75.6854816144993
4.36,0,0,0,20.5785142126592,75.4323065685891
4.37,0,0,0,19.6246819824526,75.1776946305843
4.38,0,0,0,18.6196989045754,74.9216311511839
4.39,0,0,0,17.5547822645165,74.6641011960337
4.4,0,0,0,16.4182740288067,74.4050895378939
4.41,0,0,0,15.1941176936432,74.1445806485226
4.42,0,0,0,13.8591071705378,73.8825586902718
4.43,0,0,0,12.3774245832281,73.619007507372
4.44,0,0,0,10.6882447452999,73.3539106169018
4.45,0,0,0,8.67113953469998,73.0872511994207
4.46,0,0,0,6.00423971855927,72.8190120892539
4.47,0,0,0,0,72.5491757644115
4.48,0,0,0,0,72.2777243361254
4.49,0,0,0,0,72.0046395379857
4.5,0,0,0,0,71.729902714659
4.51,0,0,0,0,71.4534948101668
4.52,0,0,0,0,71.1753963557035
4.53,0,0,0,0,70.8955874569732
4.54,0,0,0,0,70.6140477810192
4.55,0,0,0,0,70.3307565425231
4.56,0,0,0,0,70.0456924895467
4.57,0,0,0,0,69.7588338886875
4.58,0,0,0,0,69.47015850962
4.59,0,0,0,0,69.1796436089899
4.6,0,0,0,0,68.8872659136277
4.61,0,0,0,0,68.5930016030478
4.62,0,0,0,0,68.2968262911936
4.63,0,0,0,0,67.9987150073889
4.64,0,0,0,0,67.6986421764545
4.65,0,0,0,0,67.3965815979417
4.66,0,0,0,0,67.0925064244382
4.67,0,0,0,0,66.7863891388914
4.68,0,0,0,0,66.4782015308963
4.69,0,0,0,0,66.1679146718889
4.7,0,0,0,0,65.8554988891828
4.71,0,0,0,0,65.5409237387819
4.72,0,0,0,0,65.2241579768982
4.73,0,0,0,0,64.9051695300983
4.74,0,0,0,0,64.5839254639969
4.75,0,0,0,0,64.2603919504098
4.76,0,0,0,0,63.9345342328726
4.77,0,0,0,0,63.6063165904243
4.78,0,0,0,0,63.2757022995487
4.79,0,0,0,0,62.9426535941552
4.8,0,0,0,0,62.6071316234772
4.81,0,0,0,0,62.2690964077515
4.82,0,0,0,0,61.9285067915348
4.83,0,0,0,0,61.5853203945016
4.84,0,0,0,0,61.2394935595527
4.85,0,0,0,0,60.8909812980583
4.86,0,0,0,0,60.5397372320309
4.87,0,0,0,0,60.1857135330226
4.88,0,0,0,0,59.8288608575133
4.89,0,0,0,0,59.4691282785377
4.9,0,0,0,0,59.1064632132862
4.91,0,0,0,0,58.7408113463782
4.92,0,0,0,0,58.3721165484937
4.93,0,0,0,0,58.0003207900089
4.94,0,0,0,0,57.6253640492607
4.95,0,0,0,0,57.2471842150214
4.96,0,0,0,0,56.8657169827326
4.97,0,0,0,0,56.4808957440015
4.98,0,0,0,0,56.0926514688169
4.99,0,0,0,0,55.7009125798892
5,0,0,0,0,55.3056048184596
5.01,0,0,0,0,54.9066511008609
5.02,0,0,0,0,54.5039713650353
5.03,0,0,0,0,54.0974824061378
5.04,0,0,0,0,53.6870977002582
5.05,0,0,0,0,53.2727272151955
