"Freq [GHz]","im(Z(1,1)) []","im(Z(1,2)) []"
2.74857142857143,-78.3005624832923,-78.0798369470594
2.75428571428571,-77.9124439484179,-77.6018568509673
2.76,-77.5364788170119,-77.1338617602097
2.76571428571429,-77.1733223322419,-76.6768146029234
2.77142857142857,-76.823564396896,-76.2316162353672
2.77714285714286,-76.4877302824011,-75.7991054589771
2.78285714285714,-76.166281659951,-75.3800593751943
2.78857142857143,-75.8596179091761,-74.9751940312381
2.79428571428571,-75.568077661304,-74.5851653112592
2.8,-75.2919405356335,-74.2105700290316
2.80571428571429,-75.0314290305275,-73.8519471805787
2.81142857142857,-74.786710532749,-73.5097793176507
2.81714285714286,-74.5578994118214,-73.1844940058281
2.82285714285714,-74.3450591691096,-72.8764653340085
2.82857142857143,-74.1482046143151,-72.5860154451551
2.83428571428571,-73.9673040451569,-72.3134160613542
2.84,-73.8022814090473,-72.0588899794456
2.84571428571429,-73.653018428356,-71.8226125165653
2.85142857142857,-73.5193566738069,-71.6047128881076
2.85714285714286,-73.4010995730538,-71.4052755035455
2.86285714285714,-73.2980143440535,-71.2243411684799
2.86857142857143,-73.2098338451262,-71.0619081840411
2.87428571428571,-73.1362583357711,-70.9179333374618
2.88,-73.0769571442448,-70.7923327801304
2.88571428571429,-73.0315702397543,-70.6849827919097
2.89142857142857,-72.9997097087693,-70.5957204327718
2.89714285714286,-72.9809611364404,-70.5243440850013
2.90285714285714,-72.9748848955408,-70.4706138913346
2.90857142857143,-72.9810173465549,-70.4342520963483
2.91428571428571,-72.9988719537531,-70.4149433003611
2.92,-73.0279403230846,-70.4123346368456
2.92571428571429,-73.0676931687631,-70.4260358861317
2.93142857142857,-73.1175812163266,-70.4556195397558
2.93714285714286,-73.1770360507665,-70.5006208313459
2.94285714285714,-73.2454709191825,-70.5605377513644
2.94857142857143,-73.3222814981698,-70.6348310643505
2.95428571428571,-73.4068466368459,-70.7229243484731
2.96,-73.4985290871262,-70.8242040782801
2.96571428571429,-73.5966762335098,-70.9380197724228
2.97142857142857,-73.7006208351901,-71.0636842288512
2.97714285714286,-73.809681793851,-71.2004738704853
2.98285714285714,-73.9231649609706,-71.3476292246852
2.98857142857143,-74.0403639987811,-71.5043555598353
2.99428571428571,-74.1605613093177,-71.6698237021584
3,-74.2830290460462,-71.84317105526
3.00571428571429,-74.4070302225471,-72.0235028440405
3.01142857142857,-74.5318199324327,-72.2098936033115
3.01714285714286,-74.6566466942304,-72.4013889298006
3.02285714285714,-74.7807539341646,-72.5970075141226
3.02857142857143,-74.9033816188266,-72.7957434668324
3.03428571428571,-75.0237680482681,-72.9965689496625
3.04,-75.14115181847,-73.1984371197369
3.04571428571429,-75.2547739599998,-73.4002853906658
3.05142857142857,-75.3638802573356,-73.6010390102807
3.05714285714286,-75.4677237504637,-73.7996149501068
3.06285714285714,-75.5655674172743,-73.9949260967813
3.06857142857143,-75.6566870317355,-74.185885730407
3.07428571428571,-75.7403741890247,-74.3714122694011
3.08,-75.815939484767,-74.5504342559179
3.08571428571429,-75.8827158312051,-74.7218955502925
3.09142857142857,-75.9400618888325,-74.8847606975789
3.09714285714286,-75.9873655875362,-75.0380204238968
3.10285714285714,-76.0240477070563,-75.1806972154493
3.10857142857143,-76.0495654824186,-75.3118509285637
3.11428571428571,-76.0634161961807,-75.4305843752225
3.12,-76.0651407160915,-75.5360488254726
3.12571428571429,-76.0543269338584,-75.6274493656967
3.13142857142857,-76.0306130587871,-75.7040500504904
3.13714285714286,-75.9936907187268,-75.7651787855217
3.14285714285714,-75.9433078204339,-75.810231879626
3.14857142857143,-75.8792711220723,-75.8386782063547
3.15428571428571,-75.8014484723043,-75.8500629184448
3.16,-75.7097706730156,-75.8440106629647
3.16571428571429,-75.604232926587,-75.8202282504657
3.17142857142857,-75.4848958333409,-75.7785067379695
3.17714285714286,-75.3518859104024,-75.7187228931105
3.18285714285714,-75.2053956098421,-75.6408400150534
3.18857142857143,-75.0456828209945,-75.5449080966715
3.19428571428571,-74.8730698496146,-75.4310633218031
3.2,-74.6879418745393,-75.2995269009751
3.20571428571429,-74.4907448906245,-75.1506032584791
3.21142857142857,-74.2819831548889,-74.9846775930521
3.21714285714286,-74.0622161604773,-74.8022128432266
3.22285714285714,-73.832055170546,-74.6037460967588
3.22857142857143,-73.5921593506868,-74.3898844907969
3.23428571428571,-73.3432315445161,-74.1613006560164
3.24,-73.0860137418786,-73.9187277631467
